volatile acidity,chlorides,density,sulphates,alcohol,target
0.36,0.075,0.9956,0.52,12.7,6
0.24,0.083,0.9983,0.54,9.2,5
0.38,0.081,1.0006,0.54,9.4,5
0.64,0.077,0.9965,0.6,10.0,6
0.39,0.058,0.9962,0.74,9.8,5
0.755,0.148,0.9969,1.36,10.2,6
0.6,0.079,0.9997,0.57,9.7,5
0.6,0.079,0.9997,0.57,9.7,5
0.31,0.079,0.9982,0.93,9.8,6
0.46,0.122,1.0006,0.7,10.2,5
0.37,0.088,0.9988,0.8,9.3,5
0.54,0.076,0.9976,0.61,9.4,5
0.56,0.078,0.9976,0.62,9.4,5
0.58,0.08,0.9974,0.55,9.5,5
0.51,0.077,0.9974,0.96,12.1,6
0.69,0.124,0.9997,0.72,10.2,5
0.69,0.124,0.9997,0.72,10.2,5
0.6,0.098,0.9988,0.49,9.1,5
0.6,0.098,0.9988,0.49,9.1,5
0.54,0.097,0.9976,0.6,9.3,6
0.685,0.111,0.9964,0.61,9.3,5
0.54,0.097,0.9976,0.6,9.3,6
0.28,0.105,0.9988,0.63,9.5,5
0.41,0.087,0.9964,0.57,10.5,6
0.935,0.105,1.001,0.64,11.3,4
0.35,0.073,0.9964,0.58,9.5,5
0.84,0.065,0.9954,0.55,9.7,5
0.88,0.086,0.9979,0.53,9.4,5
0.885,0.084,0.9978,0.53,9.4,5
0.915,0.143,0.9964,0.65,10.2,7
0.29,0.067,0.997,1.36,10.3,6
0.54,0.071,0.9991,0.62,9.4,5
0.59,0.071,0.9992,0.63,9.5,5
0.54,0.071,0.9991,0.62,9.4,5
0.59,0.071,0.9992,0.63,9.5,5
0.54,0.071,0.9991,0.62,9.4,5
0.64,0.115,0.9984,0.69,10.1,7
0.67,0.107,0.9972,0.63,10.1,5
0.845,0.07,0.9967,0.58,11.0,4
0.48,0.066,0.9964,0.67,11.2,7
0.42,0.068,0.9948,0.57,11.3,6
0.43,0.106,0.9986,0.5,9.6,5
0.88,0.104,1.001,0.67,11.2,5
0.36,0.096,0.9976,0.84,14.9,5
0.33,0.079,0.9976,0.54,12.0,6
0.47,0.074,0.9979,0.46,9.5,5
0.55,0.087,1.0004,0.61,9.4,5
0.43,0.106,0.9986,0.5,9.6,5
0.5,0.073,0.998,0.68,10.5,7
0.52,0.074,0.9973,0.81,9.6,6
0.84,0.096,0.997,0.57,11.0,4
0.52,0.074,0.9973,0.81,9.6,6
0.42,0.08,0.9978,0.64,9.0,5
0.57,0.076,0.9972,0.7,9.6,6
0.28,0.05,0.9974,0.79,10.2,6
0.4,0.092,1.0,0.66,10.2,5
0.59,0.084,0.9981,0.56,9.7,5
0.49,0.222,0.998,0.6,9.5,6
0.34,0.082,0.9988,0.66,9.2,6
0.73,0.059,0.9966,0.57,11.0,5
0.34,0.082,0.9988,0.66,9.2,6
0.4,0.083,0.9959,0.58,10.0,5
0.73,0.074,0.9968,0.52,9.5,5
1.24,0.079,0.998,0.53,9.5,5
0.73,0.074,0.9968,0.52,9.5,5
0.4,0.084,0.9984,0.67,9.3,6
0.41,0.064,0.9984,0.65,10.2,5
0.4,0.084,0.9984,0.67,9.3,6
0.8,0.084,0.9979,0.48,9.9,5
0.78,0.081,0.9983,0.53,10.0,5
0.26,0.06,0.9972,0.54,9.6,5
0.43,0.07,1.0004,0.49,9.0,5
0.45,0.094,0.9962,0.49,10.2,6
0.46,0.078,0.998,0.54,9.8,5
0.78,0.059,0.997,0.56,11.3,5
0.98,0.078,0.998,0.48,9.4,5
0.78,0.059,0.997,0.56,11.3,5
0.65,0.07,0.997,0.6,9.1,5
0.64,0.095,0.9998,0.59,9.7,5
0.66,0.039,0.9962,0.47,9.4,5
0.38,0.157,0.9976,1.05,9.4,5
1.185,0.097,0.9966,0.54,10.7,3
0.92,0.087,0.9998,0.54,9.8,5
0.49,0.422,0.9979,1.17,9.0,5
0.48,0.084,0.9984,0.62,9.4,5
0.47,0.084,0.9984,0.61,9.4,5
0.47,0.034,0.9921,0.62,12.8,6
0.65,0.066,0.9972,0.67,9.5,6
0.65,0.066,0.9972,0.67,9.5,6
0.615,0.087,1.0001,0.53,9.7,5
0.38,0.071,0.9986,0.62,10.8,6
1.02,0.076,0.9984,0.57,10.1,6
0.65,0.066,0.9972,0.67,9.5,6
0.64,0.067,0.997,0.67,9.4,6
0.38,0.073,0.9972,0.7,9.6,4
0.765,0.078,0.998,0.54,9.7,4
1.035,0.073,0.999,0.49,9.9,5
0.78,0.093,0.9956,0.47,10.0,5
0.49,0.077,0.9966,0.51,10.5,5
0.545,0.068,0.996,0.61,11.6,6
0.31,0.062,0.9983,0.66,10.0,6
1.025,0.08,0.9985,0.57,10.1,5
0.565,0.093,0.9998,0.61,9.5,5
0.69,0.084,0.9992,0.45,9.4,5
0.43,0.075,0.9976,0.46,9.4,5
0.74,0.078,0.998,0.51,9.8,5
0.49,0.069,0.9967,0.48,9.2,6
0.43,0.075,0.9976,0.46,9.4,5
0.46,0.079,0.9968,0.57,10.0,5
0.56,0.082,0.9976,0.44,9.6,5
0.66,0.086,0.9976,0.54,9.5,5
0.56,0.082,0.9976,0.44,9.6,5
0.48,0.094,0.9982,0.53,9.2,5
0.42,0.084,0.9968,0.59,10.0,5
0.31,0.053,0.9965,1.62,9.5,5
1.115,0.086,0.9958,0.6,11.2,4
0.66,0.077,0.9976,0.55,10.4,5
0.72,0.084,0.9994,0.72,11.1,6
0.57,0.067,0.997,0.68,9.5,5
0.57,0.067,0.997,0.68,9.5,5
0.865,0.071,0.995,0.49,12.7,6
0.55,0.387,0.9982,0.67,9.6,5
0.875,0.088,0.9994,0.52,11.5,5
0.835,0.092,0.9966,0.47,9.6,5
0.45,0.082,0.998,0.6,9.5,5
0.56,0.075,0.9987,0.62,9.3,5
0.965,0.112,0.9963,0.5,9.5,5
0.965,0.112,0.9963,0.5,9.5,5
0.59,0.093,1.0002,0.65,9.3,6
0.46,0.092,0.9983,0.56,9.2,5
0.69,0.088,0.999,0.6,9.3,5
0.76,0.075,0.9965,0.68,11.5,6
0.53,0.078,0.99788,0.57,9.5,5
0.615,0.065,0.9972,0.65,9.2,5
0.41,0.096,1.00024,0.53,10.0,5
0.39,0.095,1.0001,0.51,9.5,5
0.51,0.07,0.99768,0.73,9.5,6
0.34,0.08,0.9978,0.47,9.0,6
0.33,0.083,0.99782,0.48,9.4,5
0.5,0.071,0.99761,0.72,9.6,6
0.51,0.07,0.99768,0.73,9.5,6
0.65,0.089,0.99803,0.55,9.5,5
0.65,0.089,0.99803,0.55,9.5,5
0.54,0.097,0.99785,0.61,9.4,5
0.65,0.089,0.99803,0.55,9.5,5
0.48,0.415,0.99656,1.06,9.1,6
0.91,0.058,0.99525,0.43,10.7,6
0.98,0.057,0.99488,0.46,11.2,6
0.87,0.084,0.99656,0.5,9.8,5
0.87,0.084,0.99656,0.5,9.8,5
0.42,0.092,0.99823,0.52,9.2,5
0.58,0.075,0.99779,0.57,9.7,5
0.655,0.096,0.99738,0.42,9.6,5
0.7,0.069,0.99701,0.53,10.0,6
0.655,0.096,0.99738,0.42,9.6,5
0.68,0.093,0.99888,0.55,9.5,6
0.67,0.091,0.99888,0.54,9.5,6
0.59,0.089,0.99738,0.54,9.4,5
0.6,0.103,0.99938,0.62,9.5,5
0.59,0.082,0.99744,0.53,9.7,6
0.72,0.076,0.99668,0.54,9.6,5
0.59,0.082,0.99744,0.53,9.7,6
0.685,0.082,0.9978,0.55,9.4,5
0.57,0.082,0.99782,0.55,9.4,5
0.4,0.157,0.9973,0.92,9.5,6
0.4,0.157,0.99727,0.91,9.5,6
1.0,0.102,0.99586,0.46,10.0,5
0.765,0.243,0.99612,0.6,10.3,6
0.635,0.241,0.9961,0.59,10.3,6
0.43,0.079,0.99788,0.61,10.5,5
0.52,0.076,0.99745,0.6,9.8,5
0.57,0.19,0.99676,0.6,9.4,6
0.46,0.114,0.99732,0.65,9.8,5
0.82,0.081,0.99814,0.53,10.0,5
0.46,0.114,0.99732,0.65,9.8,5
0.59,0.077,0.99746,0.59,9.8,5
0.35,0.083,0.9982,0.5,9.5,5
0.35,0.083,0.9982,0.5,9.5,5
0.56,0.079,0.9991,0.56,10.1,6
0.56,0.079,0.9991,0.56,10.1,6
0.63,0.099,0.998,0.52,9.3,5
0.37,0.082,0.99708,0.68,9.7,6
0.64,0.084,0.99818,0.54,9.6,5
0.61,0.081,0.99745,0.6,9.7,6
0.6,0.055,0.99639,0.56,10.8,5
0.27,0.065,0.99531,0.53,12.5,6
0.89,0.132,0.99786,1.18,10.2,5
0.46,0.126,0.99746,0.74,9.6,5
0.37,0.038,0.99526,0.81,10.8,7
0.5,0.082,0.9987,0.52,10.7,6
0.5,0.082,0.9987,0.52,10.7,6
0.61,0.082,0.99641,0.51,9.4,5
0.55,0.068,0.99735,0.44,10.0,5
0.585,0.044,0.99264,0.94,12.9,7
0.56,0.114,0.9971,0.66,9.6,6
0.52,0.084,0.99682,0.57,9.9,6
0.28,0.052,0.99356,0.7,12.8,7
0.25,0.041,0.99386,0.71,12.5,7
0.28,0.052,0.99356,0.7,12.8,7
0.53,0.165,0.99702,0.86,9.2,5
0.48,0.07,0.99693,0.55,10.3,6
0.49,0.068,0.99562,0.47,10.5,5
0.5,0.072,1.00012,0.68,10.9,6
0.45,0.099,0.99818,0.71,10.8,5
0.39,0.102,0.99462,0.58,11.4,4
0.41,0.103,0.99939,0.76,11.3,6
0.45,0.099,0.99818,0.71,10.8,5
0.51,0.081,0.9984,0.58,10.5,6
0.29,0.084,0.99545,0.73,11.9,6
0.715,0.071,0.99632,0.45,9.4,5
0.66,0.097,0.99976,0.54,9.6,5
0.685,0.099,0.99606,0.6,9.7,5
0.42,0.048,0.99154,0.74,14.0,7
0.54,0.076,0.9973,0.64,9.8,5
0.54,0.076,0.9973,0.64,9.8,5
0.48,0.068,0.99682,0.53,10.3,5
0.46,0.076,0.99624,0.49,10.7,5
0.27,0.05,0.9951,0.64,11.0,7
0.46,0.076,0.99624,0.49,10.7,5
0.57,0.065,0.99417,0.74,12.7,8
0.61,0.071,0.99376,0.77,11.1,6
0.685,0.058,0.99632,0.55,10.9,4
0.61,0.071,0.99376,0.77,11.1,6
0.44,0.145,0.99832,0.86,9.9,3
0.47,0.147,0.99836,0.86,9.9,4
0.685,0.088,0.99694,0.47,9.4,5
0.665,0.066,0.99655,0.51,9.3,5
0.28,0.012,0.99064,0.39,11.7,7
0.28,0.012,0.99064,0.39,11.7,7
0.31,0.075,0.99672,0.83,11.2,7
0.5,0.092,0.99647,0.47,10.0,5
0.42,0.085,0.99736,0.77,12.1,7
0.66,0.115,0.99629,0.63,10.3,5
0.5,0.119,0.99708,0.72,10.9,6
0.685,0.088,0.9963,0.62,9.4,5
0.25,0.062,0.9959,0.83,10.6,6
0.64,0.081,0.99689,0.66,9.8,5
0.64,0.081,0.99689,0.66,9.8,5
0.68,0.078,0.9977,0.7,9.9,6
0.64,0.081,0.99689,0.66,9.8,5
0.63,0.08,0.99689,0.66,9.8,5
0.43,0.085,0.99708,0.55,9.5,5
0.43,0.085,0.99708,0.55,9.5,5
0.42,0.08,0.99801,1.07,9.7,5
0.36,0.08,0.99652,0.73,10.9,6
0.36,0.08,0.99652,0.73,10.9,6
0.735,0.071,0.99538,0.71,11.7,7
0.36,0.08,0.99652,0.73,10.9,6
0.26,0.073,0.99594,0.78,11.3,7
0.28,0.054,0.99686,0.67,10.6,7
0.56,0.074,0.99438,0.82,11.2,6
0.62,0.077,0.99746,0.54,9.5,5
1.01,0.039,0.99357,0.6,11.5,6
0.42,0.067,0.99628,0.44,10.4,5
0.62,0.078,0.99746,0.53,9.7,5
0.62,0.077,0.99746,0.54,9.5,5
0.635,0.077,0.99748,0.54,9.7,5
0.49,0.071,0.99438,0.83,11.3,6
0.51,0.072,0.99438,0.84,11.2,6
0.56,0.074,0.99438,0.82,11.2,6
0.63,0.08,0.99578,0.64,10.9,6
0.715,0.064,0.99371,0.57,11.8,6
0.56,0.086,0.99522,0.57,10.6,5
0.35,0.067,0.99576,0.54,10.0,4
0.21,0.067,0.99552,0.58,11.1,7
0.38,0.104,0.99664,0.65,11.8,7
0.31,0.109,0.99614,0.79,11.8,7
0.47,0.067,0.99517,0.58,10.9,4
0.715,0.064,0.99371,0.57,11.8,6
0.61,0.094,0.99787,0.5,10.0,6
0.6,0.076,0.99745,0.55,9.5,5
0.56,0.078,0.99576,0.49,9.9,5
0.715,0.068,0.99533,0.65,11.4,6
0.31,0.194,0.99536,0.78,12.0,6
0.6,0.076,0.99745,0.55,9.5,5
0.61,0.094,0.99787,0.5,10.0,6
0.75,0.086,0.99824,0.64,10.5,5
0.8,0.083,0.99836,0.65,10.4,6
0.52,0.066,0.99577,0.79,12.1,7
0.57,0.072,0.99491,0.56,11.2,6
0.9,0.112,1.00289,0.68,9.3,5
0.34,0.071,0.99576,0.58,10.1,5
0.66,0.078,0.99743,0.57,9.7,5
0.45,0.082,0.99774,0.65,9.3,6
0.66,0.078,0.99743,0.57,9.7,5
0.63,0.08,0.99745,0.58,9.8,6
0.59,0.08,0.9955,0.58,10.7,6
0.31,0.078,0.99444,0.77,12.5,7
0.59,0.08,0.9955,0.58,10.7,6
0.31,0.078,0.99444,0.77,12.5,7
1.02,0.084,0.99892,0.49,11.0,3
0.31,0.056,0.99562,0.69,11.8,5
0.635,0.08,0.99736,0.69,10.8,7
0.635,0.08,0.99736,0.69,10.8,7
0.59,0.06,0.9962,0.59,10.8,7
0.59,0.06,0.9962,0.59,10.8,7
0.58,0.081,0.998,0.59,9.5,5
0.54,0.084,0.9964,0.71,11.0,5
0.56,0.079,0.9948,0.54,11.5,6
0.52,0.078,0.99528,0.59,10.8,6
0.305,0.059,0.99331,0.52,11.5,6
0.38,0.132,0.99577,0.57,13.2,6
0.28,0.114,0.99901,0.6,10.9,6
0.46,0.065,0.99674,0.62,12.2,6
0.395,0.094,0.99639,0.64,12.2,7
0.305,0.059,0.99331,0.52,11.5,6
0.315,0.079,0.99512,0.67,11.9,6
0.715,0.161,0.99395,0.61,11.0,5
0.41,0.084,0.99824,0.64,10.1,6
0.36,0.081,0.9964,0.72,11.0,6
0.62,0.072,0.99504,0.89,11.8,6
0.41,0.091,0.99786,0.56,10.5,5
0.36,0.081,0.9964,0.72,11.0,6
0.62,0.072,0.99504,0.89,11.8,6
0.41,0.084,0.99824,0.64,10.1,6
0.47,0.055,0.99516,0.8,11.2,5
0.22,0.064,0.99604,0.87,11.0,7
0.24,0.061,0.99786,0.9,10.2,6
0.67,0.093,0.99736,0.59,9.2,4
0.47,0.055,0.99516,0.8,11.2,5
0.33,0.063,0.99468,0.73,12.0,7
0.61,0.08,0.99746,0.73,10.5,5
0.61,0.074,0.99748,0.65,9.8,5
0.4,0.078,0.9971,0.59,9.5,6
0.61,0.074,0.99748,0.65,9.8,5
0.61,0.08,0.99746,0.73,10.5,5
0.3,0.06,0.99543,0.72,11.8,6
0.3,0.06,0.99543,0.72,11.8,6
0.63,0.071,0.99791,0.6,10.4,4
0.38,0.068,0.99356,0.72,12.9,7
0.46,0.073,0.99425,0.54,11.4,5
0.33,0.074,0.99509,0.76,12.4,7
0.27,0.082,0.99484,0.52,12.5,7
0.43,0.092,0.99834,0.64,10.0,7
0.5,0.094,0.99864,0.6,9.7,7
0.3,0.09,0.99498,0.64,12.1,7
0.44,0.071,0.99566,0.79,11.1,7
0.44,0.092,0.99745,0.99,12.0,7
0.28,0.093,0.99408,0.62,12.4,7
0.12,0.075,0.99552,0.76,11.9,7
0.12,0.075,0.99552,0.76,11.9,7
0.12,0.075,0.99552,0.76,11.9,7
0.28,0.093,0.99408,0.62,12.4,7
0.31,0.058,0.99536,0.68,11.2,7
0.34,0.052,0.99458,0.69,12.1,7
0.43,0.082,0.99538,0.54,12.2,6
0.21,0.09,0.99648,0.67,10.4,5
0.36,0.111,0.99568,0.62,11.3,6
0.37,0.088,0.99613,0.58,11.1,6
0.57,0.12,0.99519,0.71,11.3,7
0.59,0.089,0.99735,0.61,10.0,5
0.47,0.058,0.99518,0.85,11.1,6
0.56,0.078,0.99592,0.62,9.3,5
0.57,0.115,0.99654,0.69,9.5,5
0.27,0.1,0.99546,0.69,11.2,6
0.47,0.058,0.99518,0.85,11.1,6
0.34,0.065,0.99554,0.86,11.0,6
0.38,0.103,0.99604,0.58,11.9,7
0.66,0.097,0.99733,0.48,9.2,5
0.4,0.068,0.9943,0.6,12.2,6
0.56,0.079,0.99669,0.61,10.2,5
0.26,0.066,0.99724,0.87,10.9,6
0.26,0.066,0.99724,0.87,10.9,6
0.38,0.104,0.99643,0.65,11.6,7
0.34,0.079,0.99605,0.63,10.7,5
0.33,0.073,0.99658,0.62,12.1,7
0.41,0.083,0.997,0.52,9.4,5
0.41,0.083,0.997,0.52,9.4,5
0.59,0.109,0.99801,0.5,9.1,5
0.4,0.061,0.99416,0.49,11.3,7
0.45,0.075,0.9969,0.63,10.4,5
0.5,0.065,0.99774,0.71,10.5,6
0.86,0.079,0.99712,0.62,10.0,5
0.52,0.07,0.99418,0.82,12.9,6
0.5,0.065,0.99774,0.71,10.5,6
0.45,0.075,0.9969,0.63,10.4,5
0.58,0.064,0.99562,0.58,11.3,6
0.34,0.066,0.9947,0.55,11.4,7
0.36,0.08,0.99693,0.5,9.4,5
0.39,0.097,0.99596,0.49,9.4,5
0.295,0.073,0.99556,0.51,10.9,6
0.39,0.097,0.99596,0.49,9.4,5
0.34,0.082,0.99694,0.48,9.4,5
0.4,0.076,0.99554,0.48,9.4,6
0.34,0.082,0.99694,0.48,9.4,5
0.35,0.092,0.99918,0.43,9.4,5
0.6,0.079,0.99697,0.62,10.1,6
0.66,0.087,0.99378,0.63,12.8,7
0.66,0.087,0.99378,0.63,12.8,7
0.84,0.05,0.99554,0.48,9.1,6
0.69,0.055,0.99162,0.53,12.9,6
0.43,0.062,0.99495,0.72,11.5,7
0.35,0.058,0.99676,0.82,10.6,7
0.29,0.063,0.99516,0.84,11.7,7
0.36,0.067,0.9928,0.55,12.8,7
0.43,0.081,0.99603,0.54,10.3,5
0.36,0.067,0.9928,0.55,12.8,7
0.29,0.063,0.99516,0.84,11.7,7
0.3,0.064,0.99516,0.84,11.7,7
0.35,0.11,0.99549,0.7,12.0,7
0.5,0.116,0.99722,0.68,10.9,5
0.28,0.067,0.99354,0.55,12.3,7
0.32,0.088,0.9957,0.55,10.4,6
1.005,0.102,0.99604,0.48,10.0,5
0.71,0.092,0.99635,0.58,10.0,6
0.58,0.12,0.99454,0.58,11.2,6
0.39,0.075,0.99598,0.84,11.4,6
0.38,0.068,0.99486,0.75,12.6,7
0.18,0.049,0.99007,0.44,12.7,6
0.18,0.049,0.99007,0.44,12.7,6
0.5,0.078,0.99636,0.61,10.4,5
0.36,0.123,0.99642,0.53,11.9,6
0.36,0.123,0.99642,0.53,11.9,6
0.51,0.062,0.99584,0.54,10.5,5
0.32,0.098,0.99506,0.55,12.3,6
0.58,0.088,0.99568,0.56,10.5,7
0.83,0.095,0.99822,0.6,10.4,6
0.31,0.066,0.99364,0.56,12.6,6
0.795,0.065,0.99378,0.52,11.6,5
0.34,0.075,0.99586,0.54,10.1,6
0.58,0.088,0.99568,0.56,10.5,7
0.59,0.091,0.99488,0.55,11.5,7
0.55,0.093,0.99514,0.58,11.0,7
0.82,0.095,0.99854,0.53,9.6,5
0.57,0.089,0.99592,0.59,10.4,6
0.745,0.077,0.99739,0.47,9.7,6
0.37,0.085,0.99683,0.65,10.6,7
0.31,0.082,0.99356,0.59,12.5,7
0.91,0.074,0.99672,0.56,9.2,5
0.41,0.078,0.9953,0.77,12.6,7
0.5,0.088,0.99692,0.83,11.1,6
0.965,0.088,0.99756,0.67,10.2,5
0.49,0.079,0.99547,0.64,9.8,6
0.5,0.088,0.99692,0.83,11.1,6
0.39,0.069,0.99859,0.81,10.9,7
0.39,0.046,0.99294,0.62,12.2,6
0.44,0.07,0.99438,0.58,11.4,6
0.78,0.076,0.99612,0.62,10.7,6
0.43,0.082,0.99634,0.64,10.4,5
0.49,0.081,0.99702,0.78,10.9,6
0.5,0.084,0.99704,0.77,10.8,6
0.43,0.082,0.99634,0.64,10.4,5
0.46,0.414,0.99702,1.34,9.2,5
0.605,0.073,0.99258,0.55,12.9,5
0.33,0.07,0.99426,0.77,12.7,7
0.64,0.095,0.99747,0.62,9.1,6
0.64,0.095,0.99747,0.62,9.1,6
0.48,0.101,0.99586,0.59,12.1,7
0.42,0.104,0.99784,0.57,9.1,5
0.53,0.093,0.9971,0.76,11.6,7
0.48,0.101,0.99586,0.59,12.1,7
0.23,0.074,0.9981,0.7,9.9,6
0.4,0.071,0.99462,0.69,12.5,8
0.38,0.098,0.9956,0.64,11.4,6
0.29,0.075,0.99565,0.63,11.8,6
0.74,0.067,0.99418,0.57,11.8,6
0.61,0.083,0.9963,0.6,10.2,6
0.52,0.07,0.99358,0.72,12.5,7
0.31,0.06,0.99572,0.83,10.9,7
0.31,0.06,0.99572,0.83,10.9,7
0.62,0.086,0.997,0.62,10.8,5
0.33,0.057,0.99498,0.89,11.1,7
0.77,0.098,0.99892,0.58,9.2,5
0.35,0.083,0.9968,0.58,9.5,6
0.62,0.088,0.9972,0.58,10.7,6
0.77,0.098,0.99892,0.58,9.2,5
0.25,0.071,0.99769,0.86,10.2,7
0.32,0.073,0.99534,0.73,11.4,6
0.37,0.08,0.99817,0.58,11.0,5
0.37,0.08,0.99817,0.58,11.0,5
0.3,0.05,0.99316,0.51,12.3,7
0.27,0.047,0.99471,0.51,11.8,6
0.3,0.05,0.99316,0.51,12.3,7
0.38,0.073,0.99685,0.59,9.5,6
0.42,0.072,0.99617,0.77,12.0,6
0.38,0.073,0.99685,0.59,9.5,6
0.48,0.074,0.99529,0.49,9.6,5
0.34,0.055,0.99738,0.66,11.6,7
0.19,0.057,0.994,0.69,11.2,6
0.41,0.095,0.99735,0.76,9.9,7
0.41,0.095,0.99735,0.76,9.9,7
0.26,0.083,0.99451,0.63,11.8,8
0.34,0.086,0.99546,0.6,11.4,6
0.54,0.081,0.99479,0.59,11.5,6
0.31,0.079,0.99615,0.86,12.0,7
0.725,0.117,0.99655,0.49,10.8,6
0.4,0.087,0.99772,0.5,10.5,5
0.725,0.117,0.99655,0.49,10.8,6
0.52,0.096,0.99666,0.52,9.4,5
0.31,0.216,0.99358,0.81,12.5,7
0.52,0.096,0.99666,0.52,9.4,5
0.34,0.072,0.99392,0.78,12.4,6
0.49,0.071,0.99388,0.63,12.0,6
0.48,0.078,0.99402,0.54,11.2,6
0.49,0.071,0.99388,0.63,12.0,6
0.48,0.073,0.9936,0.66,12.4,6
0.57,0.048,0.99374,0.6,12.8,5
0.23,0.069,0.99376,0.54,12.3,6
0.3,0.068,0.99523,0.85,11.7,7
0.78,0.09,0.99855,0.49,9.5,5
0.47,0.171,0.9982,0.76,10.8,6
0.53,0.07,0.99593,0.64,10.0,6
0.42,0.092,0.99471,0.64,12.3,7
0.33,0.056,0.99396,0.71,11.0,6
0.24,0.074,0.99698,0.59,9.5,6
0.4,0.046,0.9902,0.66,13.6,6
0.69,0.091,0.99572,0.6,11.3,6
0.69,0.091,0.99572,0.6,11.3,6
0.69,0.091,0.99572,0.6,11.3,6
0.39,0.065,0.99252,0.53,13.3,6
0.66,0.066,0.99256,0.58,12.9,5
0.54,0.076,0.99235,0.72,13.1,8
0.5,0.062,0.99352,0.55,12.3,6
0.47,0.055,0.9922,0.48,12.3,6
0.4,0.081,0.99674,0.65,11.2,6
0.58,0.096,0.99557,0.62,11.5,4
0.24,0.055,0.99394,0.59,11.3,7
0.29,0.063,0.9915,0.54,13.5,6
0.76,0.072,0.99379,0.6,11.5,6
0.43,0.095,0.9984,0.68,10.0,5
0.43,0.092,0.99798,0.69,10.5,6
0.6,0.058,0.9977,0.63,10.4,6
0.19,0.045,0.99341,0.44,9.5,5
0.36,0.075,0.9933,0.88,13.6,7
0.48,0.089,0.99684,0.68,11.2,7
0.28,0.061,0.99524,0.74,11.8,7
0.25,0.067,0.9946,0.6,11.9,6
0.52,0.08,0.99774,0.76,11.4,6
0.52,0.08,0.99774,0.76,11.4,6
0.41,0.104,0.99786,0.58,9.1,5
0.51,0.079,0.99764,0.64,9.5,6
0.4,0.08,0.9969,0.65,9.5,6
0.38,0.08,0.99624,0.85,11.0,6
0.45,0.043,0.99354,0.65,11.4,6
0.22,0.065,0.99672,0.82,10.0,6
0.32,0.066,0.99588,0.62,10.1,5
0.2,0.076,0.99672,0.81,10.4,6
0.5,0.178,0.996,0.87,9.8,6
0.41,0.071,0.99702,0.49,11.8,7
0.39,0.086,0.99526,0.66,11.6,6
0.35,0.061,0.99585,0.52,12.0,6
0.33,0.067,0.99473,0.76,12.8,7
0.58,0.044,0.99352,0.65,12.5,6
0.6,0.118,0.99616,0.53,9.8,5
0.42,0.083,0.99622,0.66,11.1,6
0.58,0.1,0.99544,0.68,11.4,6
0.6,0.118,0.99616,0.53,9.8,5
0.18,0.071,0.99524,0.76,11.8,7
0.51,0.042,0.9924,0.87,12.9,7
0.41,0.076,0.99572,1.16,10.6,6
0.41,0.11,0.99728,0.67,10.8,5
0.36,0.087,0.99676,0.72,11.1,7
0.45,0.076,0.99551,0.75,10.2,6
0.32,0.075,0.99434,0.71,11.8,7
0.785,0.078,0.99692,0.67,10.0,5
0.785,0.078,0.99692,0.67,10.0,5
0.44,0.369,0.99634,1.1,9.4,5
0.54,0.111,0.99709,0.98,10.2,5
0.33,0.074,0.99528,0.88,12.4,7
0.34,0.067,0.99384,0.56,12.0,6
0.5,0.086,0.99502,0.62,11.5,6
0.36,0.062,0.99667,0.67,10.5,6
0.59,0.078,0.99522,0.68,10.8,6
0.42,0.074,0.99649,0.74,12.3,6
0.36,0.079,0.99716,0.62,9.5,6
0.36,0.079,0.99716,0.62,9.5,6
0.61,0.095,0.99541,0.7,11.5,6
0.88,0.079,0.99572,0.5,11.2,4
0.66,0.052,0.99318,0.66,12.7,7
0.915,0.041,0.99346,0.73,11.4,5
0.35,0.076,0.99599,0.81,11.0,6
0.35,0.076,0.99599,0.81,11.0,6
0.39,0.068,0.99478,0.46,11.4,5
0.4,0.068,0.99754,0.86,10.5,6
0.66,0.07,0.99572,0.6,9.3,5
0.64,0.08,0.99538,0.7,10.9,5
0.43,0.085,0.99346,0.46,11.9,6
0.8,0.079,0.9963,0.5,12.2,5
0.43,0.085,0.99346,0.46,11.9,6
0.64,0.08,0.99538,0.7,10.9,5
0.955,0.075,0.99616,0.44,9.6,4
0.4,0.08,0.99652,0.57,12.5,6
0.885,0.166,0.99551,0.51,10.8,5
0.25,0.063,0.99439,0.8,12.4,7
0.885,0.166,0.99551,0.51,10.8,5
0.745,0.114,0.99588,0.59,9.5,6
0.43,0.078,0.99633,0.6,9.5,6
0.58,0.076,0.99686,0.58,9.5,6
0.57,0.069,0.99458,0.54,9.8,6
0.26,0.052,0.9951,0.79,10.9,6
0.58,0.076,0.99686,0.58,9.5,6
0.57,0.069,0.99458,0.54,9.8,6
0.34,0.065,0.99419,0.54,11.2,7
0.42,0.068,0.99516,0.69,11.7,8
0.74,0.111,0.99878,0.55,9.4,5
0.36,0.074,0.99534,0.85,11.0,7
0.36,0.074,0.99534,0.85,11.0,7
0.36,0.074,0.99534,0.85,11.0,7
0.72,0.136,0.99752,0.94,10.0,5
0.36,0.074,0.99534,0.85,11.0,7
0.39,0.071,0.99428,0.87,11.2,7
0.65,0.078,0.99498,0.62,10.4,6
0.44,0.076,0.9957,0.62,9.3,5
0.65,0.078,0.99498,0.62,10.4,6
0.38,0.071,0.99659,0.75,10.5,6
0.33,0.081,0.99628,0.48,10.4,6
0.27,0.095,0.99488,0.56,11.3,6
0.57,0.079,0.99677,0.69,9.5,6
